Namespace(batch_size=32, dataset='knu', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='KNU_cls_1024', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, output_channels=18, scheduler='cos', seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Test 71, loss: 1.764799, test acc: 0.757737, test avg acc: 0.647524
Train 72, loss: 1.260188, train acc: 0.950000, train avg acc: 0.886307
Test 72, loss: 1.554118, test acc: 0.787620, test avg acc: 0.633081
Train 73, loss: 1.245778, train acc: 0.951923, train avg acc: 0.863671
Test 73, loss: 1.523182, test acc: 0.806830, test avg acc: 0.649570
Train 74, loss: 1.238975, train acc: 0.954327, train avg acc: 0.894187
Test 74, loss: 1.579314, test acc: 0.779082, test avg acc: 0.648864
Train 75, loss: 1.228259, train acc: 0.962981, train avg acc: 0.859993
Test 75, loss: 1.666778, test acc: 0.728922, test avg acc: 0.625955
Train 76, loss: 1.238552, train acc: 0.957452, train avg acc: 0.866879
Test 76, loss: 1.594632, test acc: 0.782284, test avg acc: 0.621003
Train 77, loss: 1.230993, train acc: 0.959615, train avg acc: 0.886668
Test 77, loss: 1.498383, test acc: 0.802561, test avg acc: 0.671171
Train 78, loss: 1.237527, train acc: 0.954808, train avg acc: 0.883693
Test 78, loss: 1.613926, test acc: 0.781217, test avg acc: 0.708584
Train 79, loss: 1.233466, train acc: 0.959135, train avg acc: 0.891906
Test 79, loss: 1.573591, test acc: 0.803629, test avg acc: 0.661560
Train 80, loss: 1.223549, train acc: 0.964904, train avg acc: 0.903808
Test 80, loss: 1.519990, test acc: 0.798292, test avg acc: 0.652871
Train 81, loss: 1.229912, train acc: 0.962260, train avg acc: 0.906023
Test 81, loss: 1.541444, test acc: 0.797225, test avg acc: 0.656776
Train 82, loss: 1.220290, train acc: 0.968510, train avg acc: 0.911154
Test 82, loss: 1.557718, test acc: 0.799360, test avg acc: 0.690559
Train 83, loss: 1.219692, train acc: 0.967308, train avg acc: 0.912322
Test 83, loss: 1.554443, test acc: 0.759872, test avg acc: 0.627859
Train 84, loss: 1.228310, train acc: 0.959615, train avg acc: 0.917437
Test 84, loss: 1.503861, test acc: 0.813234, test avg acc: 0.688347
Train 85, loss: 1.218497, train acc: 0.966346, train avg acc: 0.906779
Test 85, loss: 1.669133, test acc: 0.752401, test avg acc: 0.689232
Train 86, loss: 1.212948, train acc: 0.971394, train avg acc: 0.912845
Test 86, loss: 1.452274, test acc: 0.833511, test avg acc: 0.705884
Train 87, loss: 1.210920, train acc: 0.968750, train avg acc: 0.940033
Test 87, loss: 1.472710, test acc: 0.820704, test avg acc: 0.701253
Train 88, loss: 1.219021, train acc: 0.967548, train avg acc: 0.910426
Test 88, loss: 1.539284, test acc: 0.803629, test avg acc: 0.689161
Train 89, loss: 1.217818, train acc: 0.964663, train avg acc: 0.911694
Test 89, loss: 1.544760, test acc: 0.797225, test avg acc: 0.750142
Train 90, loss: 1.218835, train acc: 0.965625, train avg acc: 0.925808
Test 90, loss: 1.552392, test acc: 0.796158, test avg acc: 0.695298
Train 91, loss: 1.210011, train acc: 0.970913, train avg acc: 0.928466
Test 91, loss: 1.800283, test acc: 0.797225, test avg acc: 0.665252
Train 92, loss: 1.212107, train acc: 0.970192, train avg acc: 0.905638
Test 92, loss: 1.485623, test acc: 0.828175, test avg acc: 0.756674
Train 93, loss: 1.204927, train acc: 0.976442, train avg acc: 0.931655
Test 93, loss: 1.600065, test acc: 0.780149, test avg acc: 0.653950
Train 94, loss: 1.202386, train acc: 0.974760, train avg acc: 0.944804
Test 94, loss: 1.518659, test acc: 0.829242, test avg acc: 0.735028
Train 95, loss: 1.204553, train acc: 0.970433, train avg acc: 0.915203
Test 95, loss: 1.505200, test acc: 0.806830, test avg acc: 0.677114
Train 96, loss: 1.212499, train acc: 0.963702, train avg acc: 0.906968
Test 96, loss: 1.527468, test acc: 0.789755, test avg acc: 0.633723
Train 97, loss: 1.207918, train acc: 0.972356, train avg acc: 0.888647
Test 97, loss: 1.487186, test acc: 0.820704, test avg acc: 0.711512
Train 98, loss: 1.195649, train acc: 0.976923, train avg acc: 0.921744
Test 98, loss: 1.565161, test acc: 0.821772, test avg acc: 0.709958
Train 99, loss: 1.202700, train acc: 0.970673, train avg acc: 0.936001
Test 99, loss: 1.529421, test acc: 0.801494, test avg acc: 0.769162
Train 100, loss: 1.199172, train acc: 0.977644, train avg acc: 0.936789
Test 100, loss: 1.473630, test acc: 0.828175, test avg acc: 0.742682
Train 101, loss: 1.203385, train acc: 0.970192, train avg acc: 0.926315
Test 101, loss: 1.567633, test acc: 0.795091, test avg acc: 0.689238
Train 102, loss: 1.201988, train acc: 0.975240, train avg acc: 0.941291
Test 102, loss: 1.501577, test acc: 0.818570, test avg acc: 0.720724
Train 103, loss: 1.197713, train acc: 0.975721, train avg acc: 0.938350
Test 103, loss: 1.483353, test acc: 0.806830, test avg acc: 0.718716
Train 104, loss: 1.195973, train acc: 0.975962, train avg acc: 0.914233
Test 104, loss: 1.557546, test acc: 0.794023, test avg acc: 0.676897
Train 105, loss: 1.191302, train acc: 0.977885, train avg acc: 0.935904
Test 105, loss: 1.591646, test acc: 0.795091, test avg acc: 0.658919
Train 106, loss: 1.183342, train acc: 0.981010, train avg acc: 0.928575
Test 106, loss: 1.606242, test acc: 0.806830, test avg acc: 0.715817
Train 107, loss: 1.189786, train acc: 0.979087, train avg acc: 0.950892
Test 107, loss: 1.512491, test acc: 0.824973, test avg acc: 0.722227
Train 108, loss: 1.190454, train acc: 0.976683, train avg acc: 0.933286
Test 108, loss: 1.598862, test acc: 0.814301, test avg acc: 0.715445
Train 109, loss: 1.178398, train acc: 0.983173, train avg acc: 0.930408
Test 109, loss: 1.502931, test acc: 0.808965, test avg acc: 0.717898
Train 110, loss: 1.180258, train acc: 0.981010, train avg acc: 0.944730
Test 110, loss: 1.478266, test acc: 0.822839, test avg acc: 0.739968
Train 111, loss: 1.177153, train acc: 0.982933, train avg acc: 0.943672
Test 111, loss: 1.482547, test acc: 0.827108, test avg acc: 0.720597
Train 112, loss: 1.173705, train acc: 0.986779, train avg acc: 0.971043
Test 112, loss: 1.442072, test acc: 0.838847, test avg acc: 0.751996
Train 113, loss: 1.171982, train acc: 0.983654, train avg acc: 0.951711
Test 113, loss: 1.499398, test acc: 0.823906, test avg acc: 0.712987
Train 114, loss: 1.176481, train acc: 0.984375, train avg acc: 0.951318
Test 114, loss: 1.483462, test acc: 0.800427, test avg acc: 0.688837
Train 115, loss: 1.172090, train acc: 0.984375, train avg acc: 0.937699
Test 115, loss: 1.431471, test acc: 0.846318, test avg acc: 0.762176
Train 116, loss: 1.164330, train acc: 0.991827, train avg acc: 0.969333
Test 116, loss: 1.476724, test acc: 0.842049, test avg acc: 0.733624
Train 117, loss: 1.168851, train acc: 0.986058, train avg acc: 0.958107
Test 117, loss: 1.501332, test acc: 0.813234, test avg acc: 0.711724
Train 118, loss: 1.171031, train acc: 0.984615, train avg acc: 0.951447
Test 118, loss: 1.504086, test acc: 0.818570, test avg acc: 0.703707
Train 119, loss: 1.169203, train acc: 0.986058, train avg acc: 0.972121
Test 119, loss: 1.530820, test acc: 0.807898, test avg acc: 0.698339
Train 120, loss: 1.170588, train acc: 0.983894, train avg acc: 0.945593
Test 120, loss: 1.516638, test acc: 0.798292, test avg acc: 0.699085
Train 121, loss: 1.163778, train acc: 0.989183, train avg acc: 0.977487
Test 121, loss: 1.515306, test acc: 0.828175, test avg acc: 0.731978
Train 122, loss: 1.159259, train acc: 0.991106, train avg acc: 0.980800
Test 122, loss: 1.463077, test acc: 0.833511, test avg acc: 0.722308
Train 123, loss: 1.161921, train acc: 0.991827, train avg acc: 0.979234
Test 123, loss: 1.438740, test acc: 0.853789, test avg acc: 0.780132
Train 124, loss: 1.165766, train acc: 0.985577, train avg acc: 0.965363
Test 124, loss: 1.478484, test acc: 0.832444, test avg acc: 0.721790
Train 125, loss: 1.155350, train acc: 0.992067, train avg acc: 0.978296
Test 125, loss: 1.469794, test acc: 0.823906, test avg acc: 0.755271
Train 126, loss: 1.159915, train acc: 0.990144, train avg acc: 0.969852
Test 126, loss: 1.478656, test acc: 0.832444, test avg acc: 0.756322
Train 127, loss: 1.160723, train acc: 0.988462, train avg acc: 0.980512
Test 127, loss: 1.479997, test acc: 0.831377, test avg acc: 0.711583
Train 128, loss: 1.159381, train acc: 0.989904, train avg acc: 0.982266
Test 128, loss: 1.458980, test acc: 0.845251, test avg acc: 0.733536
Train 129, loss: 1.157739, train acc: 0.989663, train avg acc: 0.968760
Test 129, loss: 1.479139, test acc: 0.833511, test avg acc: 0.725359
Train 130, loss: 1.163574, train acc: 0.985577, train avg acc: 0.958798
Test 130, loss: 1.476927, test acc: 0.848453, test avg acc: 0.752223
Train 131, loss: 1.155888, train acc: 0.990385, train avg acc: 0.976263
Test 131, loss: 1.523922, test acc: 0.815368, test avg acc: 0.722838
Train 132, loss: 1.156774, train acc: 0.990385, train avg acc: 0.962517
Test 132, loss: 1.473923, test acc: 0.847385, test avg acc: 0.779083
Train 133, loss: 1.155948, train acc: 0.991346, train avg acc: 0.974394
Test 133, loss: 1.505171, test acc: 0.833511, test avg acc: 0.722009
Train 134, loss: 1.156305, train acc: 0.989904, train avg acc: 0.964218
Test 134, loss: 1.449061, test acc: 0.834578, test avg acc: 0.714205
Train 135, loss: 1.153025, train acc: 0.991346, train avg acc: 0.983135
Test 135, loss: 1.462823, test acc: 0.833511, test avg acc: 0.711727
Train 136, loss: 1.146604, train acc: 0.994231, train avg acc: 0.982675
Test 136, loss: 1.482373, test acc: 0.826041, test avg acc: 0.757579
Train 137, loss: 1.147365, train acc: 0.992788, train avg acc: 0.975346
Test 137, loss: 1.452996, test acc: 0.849520, test avg acc: 0.728845
Train 138, loss: 1.143133, train acc: 0.993990, train avg acc: 0.988935
Test 138, loss: 1.483393, test acc: 0.844184, test avg acc: 0.741502
Train 139, loss: 1.149015, train acc: 0.991346, train avg acc: 0.959141
Test 139, loss: 1.458325, test acc: 0.848453, test avg acc: 0.752032
Train 140, loss: 1.144249, train acc: 0.994231, train avg acc: 0.978004
Test 140, loss: 1.428630, test acc: 0.855923, test avg acc: 0.734721
Train 141, loss: 1.144004, train acc: 0.995673, train avg acc: 0.989741
Test 141, loss: 1.443879, test acc: 0.848453, test avg acc: 0.742198
Train 142, loss: 1.139579, train acc: 0.996394, train avg acc: 0.995367
Test 142, loss: 1.440991, test acc: 0.839915, test avg acc: 0.734846
Train 143, loss: 1.139724, train acc: 0.996875, train avg acc: 0.988725
Test 143, loss: 1.507376, test acc: 0.813234, test avg acc: 0.694401
Train 144, loss: 1.138281, train acc: 0.996875, train avg acc: 0.988323
Test 144, loss: 1.440996, test acc: 0.840982, test avg acc: 0.757505
Train 145, loss: 1.137363, train acc: 0.995673, train avg acc: 0.989033
Test 145, loss: 1.454451, test acc: 0.836713, test avg acc: 0.751836
Train 146, loss: 1.142360, train acc: 0.993510, train avg acc: 0.986625
Test 146, loss: 1.483617, test acc: 0.836713, test avg acc: 0.746464
Train 147, loss: 1.139415, train acc: 0.994952, train avg acc: 0.972559
Test 147, loss: 1.450386, test acc: 0.851654, test avg acc: 0.752369
Train 148, loss: 1.138862, train acc: 0.995673, train avg acc: 0.973594
Test 148, loss: 1.447691, test acc: 0.842049, test avg acc: 0.731749
Train 149, loss: 1.141350, train acc: 0.994952, train avg acc: 0.996110
Test 149, loss: 1.479860, test acc: 0.824973, test avg acc: 0.707088
Train 150, loss: 1.136670, train acc: 0.996875, train avg acc: 0.990577
Test 150, loss: 1.465071, test acc: 0.840982, test avg acc: 0.733791
Train 151, loss: 1.136214, train acc: 0.997115, train avg acc: 0.987838
Test 151, loss: 1.441274, test acc: 0.852721, test avg acc: 0.761761
Train 152, loss: 1.134935, train acc: 0.998077, train avg acc: 0.985259
Test 152, loss: 1.421626, test acc: 0.858058, test avg acc: 0.762536
Train 153, loss: 1.135018, train acc: 0.995433, train avg acc: 0.981431
Test 153, loss: 1.469966, test acc: 0.830309, test avg acc: 0.748296
Train 154, loss: 1.136838, train acc: 0.993510, train avg acc: 0.983193
Test 154, loss: 1.448031, test acc: 0.836713, test avg acc: 0.735410
Train 155, loss: 1.135728, train acc: 0.995673, train avg acc: 0.978778
Test 155, loss: 1.452339, test acc: 0.852721, test avg acc: 0.745022
Train 156, loss: 1.130724, train acc: 0.999038, train avg acc: 0.992808
Test 156, loss: 1.457431, test acc: 0.845251, test avg acc: 0.760456
Train 157, loss: 1.131475, train acc: 0.997596, train avg acc: 0.998264
Test 157, loss: 1.431726, test acc: 0.843116, test avg acc: 0.764843
Train 158, loss: 1.132908, train acc: 0.997356, train avg acc: 0.986496
Test 158, loss: 1.450823, test acc: 0.847385, test avg acc: 0.798960
Train 159, loss: 1.132058, train acc: 0.996154, train avg acc: 0.992868
Test 159, loss: 1.452037, test acc: 0.843116, test avg acc: 0.746061
Train 160, loss: 1.129298, train acc: 0.998077, train avg acc: 0.985394
Test 160, loss: 1.463222, test acc: 0.837780, test avg acc: 0.732085
Train 161, loss: 1.131574, train acc: 0.997115, train avg acc: 0.985663
Test 161, loss: 1.488074, test acc: 0.836713, test avg acc: 0.727838
Train 162, loss: 1.127700, train acc: 0.997356, train avg acc: 0.993618
Test 162, loss: 1.462169, test acc: 0.853789, test avg acc: 0.803951
Train 163, loss: 1.124985, train acc: 0.998077, train avg acc: 0.997803
Test 163, loss: 1.463328, test acc: 0.833511, test avg acc: 0.735967
Train 164, loss: 1.126364, train acc: 0.998317, train avg acc: 0.989108
Test 164, loss: 1.445997, test acc: 0.846318, test avg acc: 0.780414
Train 165, loss: 1.128309, train acc: 0.995673, train avg acc: 0.972632
Test 165, loss: 1.481985, test acc: 0.829242, test avg acc: 0.745890
Train 166, loss: 1.125124, train acc: 0.997596, train avg acc: 0.991122
Test 166, loss: 1.441825, test acc: 0.843116, test avg acc: 0.756471
Train 167, loss: 1.124357, train acc: 0.997115, train avg acc: 0.997738
Test 167, loss: 1.433576, test acc: 0.847385, test avg acc: 0.749611
Train 168, loss: 1.126372, train acc: 0.998077, train avg acc: 0.993302
Test 168, loss: 1.458893, test acc: 0.843116, test avg acc: 0.764740
Train 169, loss: 1.126419, train acc: 0.997596, train avg acc: 0.990879
Test 169, loss: 1.415549, test acc: 0.845251, test avg acc: 0.755552
Train 170, loss: 1.124766, train acc: 0.997596, train avg acc: 0.982321
Test 170, loss: 1.433826, test acc: 0.853789, test avg acc: 0.759174
Train 171, loss: 1.125610, train acc: 0.996875, train avg acc: 0.977582
Test 171, loss: 1.448267, test acc: 0.851654, test avg acc: 0.770039
Train 172, loss: 1.124007, train acc: 0.998077, train avg acc: 0.992950
Test 172, loss: 1.431081, test acc: 0.846318, test avg acc: 0.789583
Train 173, loss: 1.124872, train acc: 0.998077, train avg acc: 0.988471
Test 173, loss: 1.417703, test acc: 0.849520, test avg acc: 0.773868
Train 174, loss: 1.122355, train acc: 0.999038, train avg acc: 0.985912
Test 174, loss: 1.419779, test acc: 0.851654, test avg acc: 0.762317
Train 175, loss: 1.123159, train acc: 0.999038, train avg acc: 0.993437
Test 175, loss: 1.434877, test acc: 0.840982, test avg acc: 0.750891
Train 176, loss: 1.121269, train acc: 0.998558, train avg acc: 0.993341
Test 176, loss: 1.426438, test acc: 0.850587, test avg acc: 0.787797
Train 177, loss: 1.122883, train acc: 0.998558, train avg acc: 0.997612
Test 177, loss: 1.429453, test acc: 0.840982, test avg acc: 0.749698
Train 178, loss: 1.122597, train acc: 0.997356, train avg acc: 0.997625
Test 178, loss: 1.436587, test acc: 0.854856, test avg acc: 0.777626
Train 179, loss: 1.122049, train acc: 0.998558, train avg acc: 0.995764
Test 179, loss: 1.453138, test acc: 0.849520, test avg acc: 0.754406
Train 180, loss: 1.120720, train acc: 0.997837, train avg acc: 0.985449
Test 180, loss: 1.432080, test acc: 0.848453, test avg acc: 0.746286
Train 181, loss: 1.118615, train acc: 0.999038, train avg acc: 0.995266
Test 181, loss: 1.424528, test acc: 0.843116, test avg acc: 0.771896
Train 182, loss: 1.120341, train acc: 0.998317, train avg acc: 0.995378
Test 182, loss: 1.424371, test acc: 0.856990, test avg acc: 0.783399
Train 183, loss: 1.118620, train acc: 0.998317, train avg acc: 0.994367
Test 183, loss: 1.438014, test acc: 0.838847, test avg acc: 0.750382
Train 184, loss: 1.118155, train acc: 0.999279, train avg acc: 0.999677
Test 184, loss: 1.413223, test acc: 0.843116, test avg acc: 0.748659
