---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------------------------------------  
Name                         Self CPU total %  Self CPU total   CPU total %      CPU total        CPU time avg     CUDA total %     CUDA total       CUDA time avg    CPU Mem          Self CPU Mem     CUDA Mem         Self CUDA Mem    Number of Calls  Input Shapes                                   
---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------------------------------------  
empty                        0.00%            2.700us          0.00%            2.700us          2.700us          0.00%            1.016us          1.016us          0 b              0 b              0 b              0 b              1                []                                             
neg_out                      0.00%            35.200us         0.00%            41.600us         41.600us         0.00%            7.172us          7.172us          0 b              0 b              8.00 Kb          0 b              1                [[0], [16, 1, 128]]                            
resize_                      0.00%            6.400us          0.00%            6.400us          6.400us          0.00%            2.047us          2.047us          0 b              0 b              8.00 Kb          8.00 Kb          1                [[0]]                                          
sub                          0.00%            64.900us         0.00%            69.800us         69.800us         0.00%            21.500us         21.500us         0 b              0 b              1.00 Mb          0 b              1                [[16, 1, 128], [16, 128, 128], []]             
empty                        0.00%            4.900us          0.00%            4.900us          4.900us          0.00%            3.062us          3.062us          0 b              0 b              1.00 Mb          1.00 Mb          1                []                                             
transpose                    0.00%            11.700us         0.00%            14.600us         14.600us         0.00%            5.125us          5.125us          0 b              0 b              0 b              0 b              1                [[16, 1, 128]]                                 
as_strided                   0.00%            2.900us          0.00%            2.900us          2.900us          0.00%            1.016us          1.016us          0 b              0 b              0 b              0 b              1                [[16, 1, 128]]                                 
sub                          0.00%            12.900us         0.00%            17.700us         17.700us         0.00%            15.344us         15.344us         0 b              0 b              1.00 Mb          0 b              1                [[16, 128, 128], [16, 128, 1], []]             
empty                        0.00%            4.800us          0.00%            4.800us          4.800us          0.00%            2.047us          2.047us          0 b              0 b              1.00 Mb          1.00 Mb          1                []                                             
topk                         0.00%            42.600us         0.00%            192.100us        192.100us        0.00%            585.719us        585.719us        0 b              0 b              480.00 Kb        0 b              1                [[16, 128, 128]]                               
empty                        0.00%            3.100us          0.00%            3.100us          3.100us          0.00%            1.016us          1.016us          0 b              0 b              0 b              0 b              1                []                                             
empty                        0.00%            1.700us          0.00%            1.700us          1.700us          0.00%            1.016us          1.016us          0 b              0 b              0 b              0 b              1                []                                             
topk_out                     0.00%            144.700us        0.00%            144.700us        144.700us        0.00%            576.516us        576.516us        0 b              0 b              480.00 Kb        480.00 Kb        1                [[0], [0], [16, 128, 128]]                     
arange                       0.00%            24.900us         0.00%            60.900us         60.900us         0.00%            10.250us         10.250us         0 b              0 b              512 b            0 b              1                [[], [], []]                                   
empty                        0.00%            2.900us          0.00%            2.900us          2.900us          0.00%            1.031us          1.031us          0 b              0 b              0 b              0 b              1                []                                             
arange_out                   0.00%            27.500us         0.00%            33.100us         33.100us         0.00%            6.141us          6.141us          0 b              0 b              512 b            0 b              1                [[0], [], [], []]                              
resize_                      0.00%            5.600us          0.00%            5.600us          5.600us          0.00%            2.047us          2.047us          0 b              0 b              512 b            512 b            1                [[0]]                                          
view                         0.00%            8.600us          0.00%            8.600us          8.600us          0.00%            3.062us          3.062us          0 b              0 b              0 b              0 b              1                [[16]]                                         
is_complex                   0.00%            1.500us          0.00%            1.500us          1.500us          0.00%            1.016us          1.016us          0 b              0 b              0 b              0 b              1                [[]]                                           
mul                          0.00%            66.200us         0.00%            71.300us         71.300us         0.00%            10.234us         10.234us         0 b              0 b              512 b            0 b              1                [[16, 1, 1], []]                               
empty                        0.00%            5.100us          0.00%            5.100us          5.100us          0.00%            3.062us          3.062us          0 b              0 b              512 b            512 b            1                []                                             
add                          0.00%            52.200us         0.00%            61.500us         61.500us         0.00%            17.422us         17.422us         0 b              0 b              320.00 Kb        0 b              1                [[16, 128, 20], [16, 1, 1], []]                
empty                        0.00%            9.300us          0.00%            9.300us          9.300us          0.00%            3.062us          3.062us          0 b              0 b              320.00 Kb        320.00 Kb        1                []                                             
view                         0.00%            7.500us          0.00%            7.500us          7.500us          0.00%            3.078us          3.078us          0 b              0 b              0 b              0 b              1                [[16, 128, 20]]                                
transpose                    0.00%            8.500us          0.00%            11.000us         11.000us         0.00%            6.156us          6.156us          0 b              0 b              0 b              0 b              1                [[16, 3, 128]]                                 
as_strided                   0.00%            2.500us          0.00%            2.500us          2.500us          0.00%            2.047us          2.047us          0 b              0 b              0 b              0 b              1                [[16, 3, 128]]                                 
contiguous                   0.00%            7.200us          0.00%            34.200us         34.200us         0.00%            21.500us         21.500us         0 b              0 b              24.00 Kb         0 b              1                [[16, 128, 3]]                                 
empty_like                   0.00%            3.400us          0.00%            12.000us         12.000us         0.00%            6.141us          6.141us          0 b              0 b              24.00 Kb         0 b              1                [[16, 128, 3]]                                 
empty                        0.00%            8.600us          0.00%            8.600us          8.600us          0.00%            4.109us          4.109us          0 b              0 b              24.00 Kb         24.00 Kb         1                []                                             
---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------------------------------------  
Self CPU time total: 3.953s
CUDA time total: 72.967s
